fecha,boletin,titulo,status,fecha_sort,boletin
07/10/2019,12984-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para prohibir la negativa de los proveedores a extender a sus antiguos clientes las condiciones contractuales ofrecidas a clientes nuevos",En tramitación,2019/10/07,12984-03
10/09/2019,12931-03,"Proyecto de ley que modifica la ley N° 19.496, para ampliar los derechos de los consumidores en las materias que indica.",En tramitación,2019/09/10,12931-03
10/09/2019,12936-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para incorporar la obligación de las empresas concesionarias de servicios de recolección y disposición de aguas servidas, de solventar parte del costo de las obras de conexión a la red de alcantarillado de las comunidades de desagüe",En tramitación,2019/09/10,12936-03
03/09/2019,12909-03,Regula la portabilidad financiera,Publicado,2019/09/03,12909-03
03/09/2019,12927-07,"Modifica el Código Penal para tipificar como delito o falta, según cuantía de lo evadido, la negativa injustificada por parte del cliente a pagar el valor de los productos o servicios consumidos o recibidos, en los establecimientos que indica",En tramitación,2019/09/03,12927-07
21/08/2019,12901-07,"Modifica el Código Penal para aumentar en un grado la pena asignada a los delitos de estafa y otras defraudaciones, cuando la víctima sea adulto mayor o persona con discapacidad",En tramitación,2019/08/21,12901-07
14/08/2019,12889-01,"Modifica la ley N°18.455, que Fija normas sobre producción, elaboración y comercialización de alcoholes etílicos, bebidas alcohólicas y vinagres, en lo relativo a la información requerida en el etiquetado del vino",En tramitación,2019/08/14,12889-01
07/08/2019,12831-07,"Proyecto de ley que modifica la ley N° 19.925, Ley de Alcoholes, para regular la venta, obsequio y suministro de bebidas alcohólicas a menores en compañía de sus padres.",En tramitación,2019/08/07,12831-07
07/08/2019,12875-15,"Modifica la ley N°18.290, de Tránsito, y la ley N° N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para sancionar la adulteración del taxímetro o la conducción de taxis básicos con taxímetro adulterado o sin cumplir las exigencias que indica",En tramitación,2019/08/07,12875-15
06/08/2019,12863-15,"Modifica el Código Aeronáutico en materia de restitución de tasas, cargas o derechos aeronáuticos, por viaje no realizado",En tramitación,2019/08/06,12863-15
05/08/2019,12859-03,"Modifica la ley N°19.496 Sobre protección de los derechos de los consumidores, para sancionar con multa la infracción de las normas que regulan el servicio de estacionamiento de vehículos",En tramitación,2019/08/05,12859-03
05/08/2019,12858-03,"Modifica la ley N°19.496 Sobre protección de los derechos de los consumidores, asignando de cargo del proveedor del crédito hipotecario, los gastos operacionales derivados de su repactación o renegociación",En tramitación,2019/08/05,12858-03
25/07/2019,12845-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para prohibir a los proveedores ofrecer descuentos o beneficios asociados al uso exclusivo de un determinado medio de pago",En tramitación,2019/07/25,12845-03
24/07/2019,12823-15,"Modifica la ley N°18.290, de Tránsito, en materia de requisitos e idoneidad moral para obtener y renovar licencia profesional para la conducción de vehículos de transporte de pasajeros",En tramitación,2019/07/24,12823-15
24/07/2019,12825-15,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para autorizar el endoso del billete de pasaje en los contratos de transporte de pasajeros que indica",En tramitación,2019/07/24,12825-15
18/07/2019,12814-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para regular la garantía de los vehículos motorizados nuevos",En tramitación,2019/07/18,12814-03
18/07/2019,12817-31,"Modifica la ley N°20.255, que Establece reforma previsional, en lo relativo a la edad de postulación a la pensión básica solidaria de invalidez",En tramitación,2019/07/18,12817-31
10/07/2019,12773-19,"Modifica el Código Aeronáutico, para definir el contrato de transporte aéreo como documento electrónico, y permitir el endoso del billete de pasaje en las condiciones que indica",En tramitación,2019/07/10,12773-19
10/07/2019,12790-12,"Modifica la ley N°21.100, que Prohíbe la entrega de bolsas plásticas de comercio en todo el territorio nacional, para obligar a los establecimientos comerciales a implementar embalajes reciclables para el transporte de los productos, sin costo para el cliente final",En tramitación,2019/07/10,12790-12
10/07/2019,12793-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para exigir que en la publicidad de las operaciones de crédito de dinero se incluyan consejos para educar sobre el endeudamiento responsable",En tramitación,2019/07/10,12793-03
09/07/2019,12783-15,"Modifica la ley N°18.290, de Tránsito, para exigir que en el Registro de Vehículos Motorizados se consigne el número de siniestros que cada vehículo haya sufrido",En tramitación,2019/07/09,12783-15
04/07/2019,12770-19,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para exigir que los productos tecnológicos incluyan en su etiquetado una advertencia sobre los riesgos que su uso desmedido representa para los niños y niñas menores de dos años de edad",En tramitación,2019/07/04,12770-19
03/07/2019,12744-03,Proyecto de ley que establece la obligación de etiquetar el precio por unidad de medida de los alimentos.,En tramitación,2019/07/03,12744-03
03/07/2019,12755-12,"Regula la extracción, el aprovechamiento y la comercialización de la tierra de hojas, y sanciona la infracción de sus disposiciones",En tramitación,2019/07/03,12755-12
25/06/2019,12742-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para impedir la extinción por caducidad de los montos abonados por el suscriptor de servicios de telecomunicaciones de prepago",En tramitación,2019/06/25,12742-03
19/06/2019,12727-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para obligar a los proveedores de créditos de consumo a informar a sus clientes el costo y efectos de abonar el pago mínimo a las cuotas mensuales de la deuda",En tramitación,2019/06/19,12727-03
18/06/2019,12710-08,Proyecto de ley que modifica la Ley General de Servicios Eléctricos con el objetivo de incentivar la generación distribuida de energías renovables no convencionales.,En tramitación,2019/06/18,12710-08
18/06/2019,12722-11,Regula el etiquetado de alimentos para mascotas o animales de compañía y sanciona su incumplimiento,En tramitación,2019/06/18,12722-11
06/06/2019,12782-03,"Exige del comercio minorista que se desarrolla a través de plataformas digitales, proveer al público información, transparente y de libre acceso, sobre los precios de los productos que comercializa",En tramitación,2019/06/06,12782-03
04/06/2019,12674-06,Proyecto de ley que establece normas contra la resistencia a los antimicrobianos.,En tramitación,2019/06/04,12674-06
03/06/2019,12684-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para exigir de las empresas automotoras y comercializadoras informar los niveles de seguridad acreditados, respecto de los vehículos que comercialicen",En tramitación,2019/06/03,12684-03
31/05/2019,12663-03,Proyecto de ley que modifica la Ley sobre Protección de los Derechos de los Consumidores en materia de ofertas y promociones atadas al medio de pago administrado u operado por el mismo proveedor.,En tramitación,2019/05/31,12663-03
29/05/2019,12670-11,"Regula la producción, etiquetado y comercialización de carnes marinadas",En tramitación,2019/05/29,12670-11
29/05/2019,12671-08,Modifica la ley General de Servicios Eléctricos para prohibir la integración vertical entre las empresas generadoras y aquellas que las provean de insumos para la producción de energía eléctrica,En tramitación,2019/05/29,12671-08
16/05/2019,12657-18,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para obligar a los proveedores que indica a contar con sistemas de atención preferencial para adultos mayores y personas en situación de discapacidad",En tramitación,2019/05/16,12657-18
15/05/2019,12639-12,"Prohíbe la entrega y comercialización de envases, botellas, bolsas y otros productos plásticos de un solo uso, y modifica en consecuencia las normas legales que indica",En tramitación,2019/05/15,12639-12
14/05/2019,12626-11,"Proyecto de ley que regula la venta, publicidad y consumo de los cigarrillos electrónicos",En tramitación,2019/05/14,12626-11
14/05/2019,12618-13,"Proyecto de ley sobre modernización laboral para la conciliación, familia e inclusión.",En tramitación,2019/05/14,12618-13
13/05/2019,12625-03,Establece la obligación de etiquetar los envases de bebidas alcohólicas con información relativa a los efectos dañinos para la salud que provoca su consumo,En tramitación,2019/05/13,12625-03
09/05/2019,12623-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para exigir de los proveedores de servicios de estacionamientos, que un cierto porcentaje de éstos, sea reservado en favor de las personas que indica",En tramitación,2019/05/09,12623-03
09/05/2019,12621-11,"Modifica la ley N° 19.419, que Regula actividades que indica relacionadas con el tabaco, para prohibir la venta de cigarrillos electrónicos a menores de edad, y regular su etiquetado",En tramitación,2019/05/09,12621-11
08/05/2019,12615-08,Proyecto de ley que modifica la Ley General de Servicios Eléctricos en materia de `clientes libres`.,En tramitación,2019/05/08,12615-08
25/04/2019,12599-01,"Modifica el Código Sanitario, para definir el concepto de carne y prohibir dar esa denominación a productos que no sean de origen animal",En tramitación,2019/04/25,12599-01
17/04/2019,12570-03,"Modifica el decreto ley N° 825, de 1974, sobre Impuesto a las Ventas y Servicios, para establecer la obligación de consignar separadamente, en las boletas de compraventa que indica, el monto del impuesto pagado en la operación",En tramitación,2019/04/17,12570-03
17/04/2019,12560-11,"Proyecto de ley que modifica la ley sobre composición nutricional de los alimentos y su publicidad, con el objeto de informar en los envases que el producto respectivo contiene aceite de palma.",En tramitación,2019/04/17,12560-11
16/04/2019,12548-08,Proyecto de ley que modifica la Ley General de Servicios Eléctricos con el objeto de fortalecer la transparencia en la distribución de energía.,En tramitación,2019/04/16,12548-08
16/04/2019,12559-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para ampliar su ámbito de aplicación a las prestaciones de salud y su forma de financiamiento",En tramitación,2019/04/16,12559-03
09/04/2019,12543-03,"Modifica la ley N° 20.416, que Fija normas especiales para las empresas de menor tamaño, con el fin de obligar a las sociedades de apoyo al giro bancario que indica, a abonar inmediatamente, a las micro, pequeñas y medianas empresas, los dineros que éstas perciban por las transacciones comerciales que realicen utilizando tarjetas bancarias",En tramitación,2019/04/09,12543-03
02/04/2019,12511-11,"Modifica la ley N°19.925, sobre Expendio y Consumo de Bebidas Alcohólicas, para prohibir el reparto a domicilio de bebidas alcohólicas a consumidores finales",En tramitación,2019/04/02,12511-11
01/04/2019,12496-07,Proyecto de reforma constitucional que inhabilita a los secretarios regionales ministeriales y a los jefes nacionales de servicios públicos para ser candidatos a diputado y a senador.,En tramitación,2019/04/01,12496-07
26/03/2019,12503-03,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, para incorporar una instancia de conciliación previa al inicio del juicio ejecutivo por deuda hipotecaria",En tramitación,2019/03/26,12503-03
26/03/2019,12502-03,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para radicar en el acreedor los costos de constitución del crédito hipotecario, y establecer condiciones para la ejecución forzada de la deuda hipotecaria",En tramitación,2019/03/26,12502-03
21/03/2019,12491-15,"Modifica la ley N°18.290, de Tránsito, para consagrar como causal de inhabilidad moral para la obtención de licencia de conducir profesional, el contar con antecedentes penales por delitos de connotación sexual",En tramitación,2019/03/21,12491-15
20/03/2019,12485-05,"Establece el financiamiento, regula la ejecución y dicta otras normas para la implementación de la Conferencia Internacional para el Cambio Climático denominada Cop 25",Publicado,2019/03/20,12485-05
13/03/2019,12469-08,"Modifica la ley N° 21.076, con el propósito de hacer voluntario, para los usuarios, el cambio de medidores o empalmes",En tramitación,2019/03/13,12469-08
12/03/2019,12459-08,"Proyecto de ley iniciado en moción del Honorable Senador señor Navarro, que establece la voluntariedad y gratuidad del cambio de medidor y empalme eléctrico, las condiciones de certificación de aquél y el resguardo a la intimidad de las personas.",En tramitación,2019/03/12,12459-08
07/03/2019,12463-03,"Modifica la ley N°19.496, para establecer un procedimiento de impugnación en caso de cobros indebidos asociados al uso de tarjetas de crédito y cuentas corrientes",En tramitación,2019/03/07,12463-03
